훈련과정 ID,회차,만족도(5점),대표값출처,수강인원,평가인원,평가참여율,추천인원,추천응답인원,전반적 만족도,경력개발지원,과제 및 피드백,교강사,프로젝트 학습,훈련과정 편성 및 운영,훈련과정 현장지향성,훈련환경 및 장비,개인성과,과정성과,훈련과정 실무연계성,평가 및 피드백
AIG20200000286653,4,4.9,전반적 만족도,22,17,77.3,17,17,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.8,4.9,4.6,
AIG20200000286660,18,4.0,전반적 만족도,25,24,96,21,24,4.0,4.1,4.1,4.1,4.1,4.2,4.1,4.3,4.0,3.9,,
AIG20200000286660,19,3.8,전반적 만족도,15,13,86.7,8,13,3.8,3.8,3.9,3.9,3.9,3.9,4.0,3.9,3.77,3.7,,
AIG20200000286660,20,4.2,전반적 만족도,14,10,71.4,8,10,4.2,4.5,4.4,4.3,4.5,4.1,4.5,3.9,4.4,4.2,4.3,
AIG20200000286660,21,3.6,전반적 만족도,15,14,93.3,9,14,3.6,3.7,3.4,3.7,3.6,3.7,3.9,4.0,3.93,3.5,3.6,
AIG20200000286660,22,3.7,전반적 만족도,23,18,78.3,8,18,3.7,3.8,4.1,4.2,4.2,3.9,3.8,4.3,3.73,3.8,3.9,
AIG20200000286660,23,4.1,전반적 만족도,20,19,95,14,19,4.1,4.0,4.0,4.1,4.2,4.2,4.1,4.2,4.2,4.0,3.6,
AIG20200000286660,24,4.7,전반적 만족도,20,15,75,15,15,4.7,4.8,4.9,4.9,4.8,4.7,4.7,4.9,4.83,5.0,5.0,
AIG20200000286660,25,4.7,전반적 만족도,24,20,83.3,20,20,4.7,4.7,4.8,4.7,4.7,4.7,4.7,4.8,4.63,4.7,5.0,
AIG20200000286660,26,3.8,전반적 만족도,20,19,95,15,19,3.8,3.9,3.8,3.9,3.9,4.0,3.7,3.9,3.7,3.9,4.0,
AIG20200000286660,27,4.0,전반적 만족도,18,17,94.4,13,17,4.0,4.1,4.0,4.2,4.1,4.0,4.0,4.1,3.93,3.9,,
AIG20200000286660,28,4.2,전반적 만족도,15,14,93.3,12,14,4.2,4.3,4.4,4.5,4.5,4.2,4.1,4.6,4.13,4.2,5.0,
