훈련과정 ID,회차
AIG20210000328839,6
AIG20210000328873,5
AIG20200000286666,7
AIG20200000286648,13
AIG20210000314425,4
AIG20210000328612,4
AIG20220000366720,1
AIG20200000286648,12
AIG20210000314444,2
AIG20220000366721,1
AIG20200000286689,7
AIG20210000328918,2
AIG20200000286661,3
AIG20220000366754,1
AIG20210000328557,5
AIG20210000328590,3
AIG20210000313603,4
AIG20210000313685,4
AIG20210000314440,4
AIG20200000286648,14
AIG20200000286660,14
AIG20220000366913,1
AIG20200000288892,15
AIG20210000328828,2
AIG20200000286658,4
AIG20210000328686,3
AIG20210000328731,5
AIG20210000314468,12
AIG20200000313547,17
AIG20210000313580,4
AIG20210000314411,9
AIG20210000314466,16
AIG20210000314468,11
AIG20210000329027,4
AIG20210000329027,6
AIG20210000314446,2
AIG20210000314466,15
AIG20210000329027,5
AIG20200000313547,18
AIG20210000328571,5
AIG20220000366806,1
AIG20210000313623,3
AIG20210000313652,4
AIG20220000366825,1
AIG20210000328610,3
AIG20200000286647,5
AIG20210000328572,5
AIG20200000286692,6
AIG20220000366700,1
AIG20210000313691,4
AIG20210000328802,2
AIG20220000366736,1
AIG20220000366915,1
AIG20210000313664,2
AIG20220000366918,1
AIG20210000313661,3
AIG20220000366739,1
AIG20210000328828,3
AIG20210000328737,4
AIG20210000328805,4
AIG20210000328549,3
AIG20210000328759,2
AIG20220000366772,1
AIG20210000313678,5
AIG20200000286602,11
AIG20200000286689,8
AIG20200000313010,14
AIG20200000313547,19
AIG20210000313674,3
AIG20220000366817,1
AIG20210000328968,2
AIG20220000409455,1
AIG20210000328853,2
AIG20220000366843,1
AIG20220000366799,1
AIG20210000328565,4
AIG20220000366732,1
AIG20220000366873,1
AIG20200000286611,7
AIG20210000328565,5
AIG20200000286531,5
AIG20220000366809,1
AIG20210000313595,2
AIG20210000313612,4
AIG20220000366703,1
AIG20220000366838,1
AIG20220000366893,1
AIG20210000328770,1
AIG20220000366806,2
AIG20210000328592,3
AIG20210000314418,2
AIG20200000286656,5
AIG20200000286666,8
AIG20200000313547,20
AIG20210000314421,3
AIG20220000366748,1
AIG20220000366789,3
AIG20220000366789,1
AIG20220000366789,5
AIG20220000366789,4
AIG20220000366853,1
AIG20210000328544,2
AIG20210000328777,2
AIG20210000328827,2
AIG20220000366789,2
AIG20220000366789,6
AIG20220000366871,1
AIG20210000314412,5
AIG20210000328590,4
AIG20220000366700,2
AIG20220000366736,2
AIG20220000366896,1
AIG20220000366748,2
AIG20210000314437,2
AIG20210000365837,3
AIG20220000366721,2
AIG20210000313656,2
AIG20220000366720,2
AIG20210000328922,2
AIG20220000366858,1
AIG20220000366806,3
AIG20210000328992,6
AIG20220000366767,1
AIG20220000366827,1
AIG20220000366914,1
AIG20220000366925,2
AIG20200000286525,7
AIG20210000314466,18
AIG20210000328571,6
AIG20210000328992,4
AIG20220000366681,1
AIG20220000366724,1
AIG20220000366817,2
AIG20220000366925,1
AIG20200000288895,9
AIG20210000314466,17
AIG20210000328766,1
AIG20210000328805,5
AIG20210000328992,5
AIG20200000286678,4
AIG20210000328572,6
AIG20210000328828,4
AIG20210000328870,5
AIG20220000366748,3
AIG20210000328737,5
AIG20220000366774,1
AIG20210000313652,5
AIG20220000366777,1
AIG20220000366682,2
AIG20220000366880,2
AIG20210000328593,5
AIG20210000328846,2
AIG20210000328971,7
AIG20220000366987,1
AIG20220000409455,2
AIG20210000328766,2
AIG20220000366785,1
AIG20220000366729,2
AIG20220000366729,1
AIG20220000366729,3
AIG20220000366854,1
AIG20210000314411,10
AIG20220000366804,1
AIG20220000366857,1
AIG20210000313585,5
AIG20210000328557,6
AIG20220000366707,1
AIG20220000366817,3
AIG20210000328839,7
AIG20210000328873,6
AIG20210000328839,8
AIG20210000328873,7
AIG20210000328924,2
AIG20220000366854,2
AIG20210000313612,5
AIG20210000328968,3
AIG20220000366896,2
AIG20210000328661,2
AIG20200000286658,5
AIG20200000286689,9
AIG20210000313580,5
AIG20210000329033,25
AIG20200000286562,4
AIG20210000329033,26
AIG20210000329033,29
AIG20210000329033,32
AIG20210000329033,34
AIG20210000329033,45
AIG20210000329033,48
AIG20210000314435,2
AIG20210000314445,2
AIG20210000329033,27
AIG20210000329033,30
AIG20210000329033,33
AIG20210000329033,36
AIG20210000329033,38
AIG20210000329033,40
AIG20210000329033,42
AIG20210000329033,44
AIG20210000329033,46
AIG20220000366677,1
AIG20210000329033,28
AIG20210000329033,31
AIG20210000329033,35
AIG20210000329033,37
AIG20210000329033,39
AIG20210000329033,41
AIG20210000329033,43
AIG20210000329033,47
AIG20220000366671,1
AIG20220000366700,3
AIG20220000366803,1
AIG20220000366726,1
AIG20200000286592,8
AIG20220000366772,2
AIG20220000366854,3
AIG20210000328612,5
AIG20210000314414,2
AIG20210000314466,20
AIG20210000329027,8
AIG20220000366918,2
AIG20210000329027,7
AIG20210000329027,9
AIG20210000314466,19
AIG20220000366793,1
AIG20220000366892,1
AIG20210000329030,17
AIG20210000329031,9
AIG20210000329031,15
AIG20210000329030,16
AIG20210000329030,18
AIG20210000329031,10
AIG20210000329031,12
AIG20220000366692,1
AIG20200000286592,9
AIG20210000329030,10
AIG20210000329030,12
AIG20210000329030,14
AIG20210000329031,7
AIG20210000329031,11
AIG20210000329031,13
AIG20210000329030,11
AIG20210000329030,13
AIG20210000329030,15
AIG20210000329031,8
AIG20210000329031,14
AIG20220000366787,1
AIG20210000328550,4
AIG20210000328839,9
AIG20210000328834,3
AIG20220000366797,1
AIG20220000409455,3
AIG20200000313547,21
AIG20220000366743,1
AIG20220000366893,2
AIG20210000313652,6
AIG20220000366834,1
AIG20200000313010,15
AIG20220000366733,1
AIG20220000366703,2
AIG20220000366826,1
AIG20210000328552,2
AIG20210000329032,4
AIG20210000329032,6
AIG20210000329032,12
AIG20200000286666,9
AIG20210000328738,2
AIG20210000329032,1
AIG20210000329032,7
AIG20210000329032,9
AIG20220000366697,1
AIG20210000329032,2
AIG20210000329032,8
AIG20210000329032,10
AIG20220000366736,3
AIG20220000366785,2
AIG20200000286675,8
AIG20210000329032,3
AIG20210000329032,5
AIG20210000329032,11
AIG20220000366801,1
AIG20200000286592,10
AIG20210000313590,3
AIG20210000314431,2
AIG20220000366913,2
AIG20210000314434,2
AIG20210000328823,2
AIG20210000328847,2
AIG20220000366725,1
AIG20220000366679,1
AIG20220000366720,3
AIG20220000366721,3
AIG20220000366896,3
AIG20200000286644,8
AIG20200000286692,7
AIG20210000313678,6
AIG20210000314445,3
AIG20210000314472,18
AIG20220000366768,1
AIG20210000314453,2
AIG20210000314472,17
AIG20220000366724,2
AIG20220000366894,1
AIG20210000313674,4
AIG20210000328571,7
AIG20220000366799,2
AIG20220000366854,4
AIG20210000328918,3
AIG20220000366787,2
AIG20220000409278,1
AIG20210000314432,2
AIG20220000366843,2
AIG20200000286565,2
AIG20200000286570,5
AIG20210000313585,6
AIG20210000314450,2
AIG20210000313603,5
AIG20210000328865,4
AIG20210000328928,3
AIG20220000409247,1
AIG20210000314424,5
AIG20210000314452,2
AIG20210000350106,3
AIG20220000409291,1
AIG20220000366748,4
AIG20220000366761,1
AIG20210000313571,3
AIG20210000328926,2
AIG20220000409455,4
AIG20220000366697,2
AIG20210000314446,3
AIG20210000314466,22
AIG20200000286525,8
AIG20210000328599,2
AIG20210000314466,21
AIG20220000366816,2
AIG20210000328868,5
AIG20210000328542,4
AIG20210000313687,3
AIG20210000313688,3
AIG20220000409343,1
AIG20220000409355,1
AIG20200000288892,16
AIG20220000366818,1
AIG20200000286592,11
AIG20210000328557,7
AIG20220000409345,1
AIG20210000313628,1
AIG20210000328731,6
AIG20200000288889,6
AIG20200000313528,33
AIG20200000313528,37
AIG20200000313547,22
AIG20200000313528,32
AIG20200000313528,36
AIG20200000313528,40
AIG20210000328860,10
AIG20210000328971,8
AIG20220000366893,3
AIG20220000409326,2
AIG20200000313528,34
AIG20200000313528,38
AIG20210000328686,4
AIG20210000328860,9
AIG20220000409326,1
AIG20200000286602,12
AIG20200000288889,7
AIG20200000313528,31
AIG20200000313528,35
AIG20200000313528,39
AIG20220000366838,2
AIG20220000409215,1
AIG20220000409326,3
AIG20220000366877,1
AIG20220000366739,2
AIG20220000366733,2
AIG20200000286644,9
AIG20220000409402,1
AIG20220000366797,2
AIG20220000409279,1
AIG20210000320474,4
AIG20210000320882,4
AIG20210000328572,7
AIG20200000286675,9
AIG20210000328565,6
AIG20210000313580,6
AIG20210000314448,2
AIG20210000320939,4
AIG20210000328565,7
AIG20220000409213,1
AIG20220000366918,3
AIG20220000409207,1
AIG20220000409199,1
AIG20210000328555,4
AIG20220000366804,2
AIG20220000409270,1
AIG20220000409270,3
AIG20220000409356,1
AIG20210000313664,3
AIG20220000409270,2
AIG20210000314423,3
AIG20200000286586,2
AIG20220000409247,2
AIG20220000409284,1
AIG20220000409357,1
AIG20220000409455,5
AIG20200000286678,5
AIG20220000366806,4
AIG20210000328835,2
AIG20220000366854,5
AIG20210000328971,9
AIG20220000366862,1
AIG20210000365837,4
AIG20210000328873,8
AIG20200000313010,16
AIG20210000328839,10
AIG20220000366708,1
AIG20220000366853,2
AIG20220000366697,3
AIG20220000409326,4
AIG20210000328853,3
AIG20220000366703,3
AIG20220000409421,1
AIG20210000314479,5
AIG20210000314480,5
AIG20220000366893,4
AIG20210000328571,8
AIG20210000329027,10
AIG20210000329027,12
AIG20210000314472,19
AIG20210000329027,11
AIG20220000366914,2
AIG20200000286562,5
AIG20220000409277,1
AIG20210000314445,4
AIG20200000286574,2
AIG20210000328737,6
AIG20220000366721,4
AIG20210000328926,3
AIG20220000366720,4
AIG20220000409278,2
AIG20200000286692,8
AIG20220000409305,1
AIG20220000366722,1
AIG20220000409408,1
AIG20220000409418,1
AIG20200000313547,23
AIG20210000328805,6
AIG20220000366671,2
AIG20220000409373,1
AIG20220000409421,2
AIG20200000286602,13
