AIG2022000040924722,AWS 클라우드를 활용한 Full-Stack 개발자 양성과정,AIG20220000409247,22,쌍용강북교육센터,140,1120,2024-11-18,2025-06-16,응용SW엔지니어링,20010202," 9,591,680 ",22,20,0,0%,94.7,서울 마포구,서울특별시 마포구 월드컵북로 21 (서교동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000409247&tracseTme=22&trainstCstmrId=500020059609&crseTracseSe=C0061,,, - ," 153,466,880 "," 191,833,600 ", -   , - , - ," 32,002,572 "," 121,464,308 "
AIG202400004590212,"(클라우드 기반 MSA)풀스택 자바 개발자(React,SpringBoot,AWS)",AIG20240000459021,2,하이미디어컴퓨터학원,130,1040,2024-11-27,2025-06-09,응용SW엔지니어링,20010202," 9,872,720 ",22,8,0,0%,0,서울 강동구,서울특별시 강동구 천호대로 1027 (천호동 동원천호빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20240000459021&tracseTme=2&trainstCstmrId=500020039555&crseTracseSe=C0061,,, - ," 63,185,408 "," 78,981,760 ", -   , - , - ," 11,340,971 "," 51,844,437 "
AIG202400004593084,"융합_인공지능(AI) 활용 웹툰 제작 전문가(PD,콘티,배경,채색,선화) 양성_By 챗GPT, 미드저니",AIG20240000459308,4,서울IT아카데미 홍대,108,860,2024-11-11,2025-04-17,만화콘텐츠제작,8030207," 8,163,980 ",23,22,0,0%,93,서울 마포구,서울특별시 마포구 양화로12길 23,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20240000459308&tracseTme=4&trainstCstmrId=500020028504&crseTracseSe=C0061,,, - ," 143,686,048 "," 179,607,560 ", -   , - , - ," 46,379,674 "," 97,306,374 "
AIG202400004591535,XR기반 실감콘텐츠 개발자 양성과정,AIG20240000459153,5,The국제직업전문학교,136,950,2024-11-04,2025-05-21,응용SW엔지니어링,20010202," 9,018,350 ",24,5,0,0%,0,광주 광산구,광주광역시 광산구 첨단중앙로 96,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20240000459153&tracseTme=5&trainstCstmrId=500020035581&crseTracseSe=C0061,,, - ," 36,073,400 "," 45,091,750 ", -   , - , - ," 10,513,855 "," 25,559,545 "
AIG202400004590231,AWS 클라우드 기반 자바웹 풀스택 개발자 양성,AIG20240000459023,1,(주)엠아이티능력개발원,132,1050,2024-11-11,2025-05-23,응용SW엔지니어링,20010202," 9,967,650 ",24,5,0,0%,0,경기 수원시 영통구,경기도 수원시 영통구 영통동 영통로217번길 6(망포역 센타프라자),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20240000459023&tracseTme=1&trainstCstmrId=500020034374&crseTracseSe=C0061,,, - ," 39,870,600 "," 49,838,250 ", -   , - , - ," 10,481,446 "," 29,389,154 "
AIG202200004092642,AI기반 빅데이터 개발자 양성과정,AIG20220000409264,2,광주국제직업전문학교,131,920,2024-11-20,2025-06-05,응용SW엔지니어링,20010202," 7,878,880 ",24,0,0,#DIV/0!,73,광주 북구,광주광역시 북구 호동로 6-6 (중흥동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000409264&tracseTme=2&trainstCstmrId=500020060019&crseTracseSe=C0061,,, - , - , - , -   , - , - , - , - 
AIG202400004591534,XR기반 실감콘텐츠 개발자 양성과정,AIG20240000459153,4,The국제직업전문학교,119,950,2024-11-21,2025-05-16,응용SW엔지니어링,20010202," 9,018,350 ",24,8,0,0%,0,광주 광산구,광주광역시 광산구 첨단중앙로 96,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20240000459153&tracseTme=4&trainstCstmrId=500020035581&crseTracseSe=C0061,,, - ," 57,717,440 "," 72,146,800 ", -   , - , - ," 13,369,576 "," 44,347,864 "
AIG202200004094223,빅데이터기반 웹 검색 엔진 개발자,AIG20220000409422,3,KH정보교육원 부산지원,120,960,2024-11-04,2025-04-28,응용SW엔지니어링,20010202," 8,221,440 ",25,15,0,0%,91.8,부산 부산진구,"부산광역시 부산진구 중앙대로 627(범천동, 삼비빌딩)",https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000409422&tracseTme=3&trainstCstmrId=500035498556&crseTracseSe=C0061,,, - ," 98,657,280 "," 123,321,600 ", -   , - , - ," 32,512,058 "," 66,145,222 "
AIG202300004555547,클라우드 보안엔지니어(화이트해커) 양성,AIG20230000455554,7,연세IT미래교육원(구.연세직업전문학교),136,1030,2024-11-05,2025-05-27,보안엔지니어링,20010206," 9,761,310 ",25,19,0,0%,87.3,경기 수원시 장안구,경기도 수원시 장안구 영화동 정조로 940-1(연세교육빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000455554&tracseTme=7&trainstCstmrId=500020053631&crseTracseSe=C0061,,, - ," 148,371,912 "," 185,464,890 ", -   , - , - ," 41,456,858 "," 106,915,054 "
AIG202300004126884,"[K디지털] 실무 프로젝트기반 풀스택(스프링, 리액트, 앱) 개발자 양성",AIG20230000412688,4,(재)부산인재개발원 부산IT교육센터,139,970,2024-11-05,2025-05-28,응용SW엔지니어링,20010202," 9,192,690 ",25,23,0,0%,85.4,부산 부산진구,부산광역시 부산진구 중앙대로 708 (부전동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412688&tracseTme=4&trainstCstmrId=500020016923&crseTracseSe=C0061,,, - ," 169,145,496 "," 211,431,870 ", -   , - , - ," 47,030,699 "," 122,114,797 "
