고유값,과정명,훈련과정 ID,회차,훈련기관,총 훈련일수,총 훈련시간,과정시작일,과정종료일,NCS명,NCS코드,훈련비,정원,수강신청 인원,수료인원,수료율,만족도,지역,주소,과정페이지 링크,선도기업,파트너기관,매출 최소,실 매출 대비,매출 최대,2021년,2022년,2023년,2024년,2025년,2026년
AIG2022000036689312,웹개발자 입문 과정,AIG20220000366893,12,(주)포스코 미래창조아카데미,144,720,2024-02-21,2024-08-13,응용SW엔지니어링,20010202," 6,534,000 ",30,6,3,50%,80.7,경북 포항시 남구,경상북도 포항시 남구 지곡로 120,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20220000366893&tracseTme=12&trainstCstmrId=500020028562&crseTracseSe=C0061,포스코,포스코,"19,602,000","31,363,200","39,204,000",0,0,0,"31,363,200",0,0
AIG202000002866965,빅데이터 핀테크 과정,AIG20200000286696,5,서울대학교,111,884,2024-02-22,2024-08-21,핀테크기술기획,20010108," 19,423,240 ",40,40,32,80%,89.5,서울 관악구,서울특별시 관악구 신림동 관악로 1(서울대학교),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20200000286696&tracseTme=5&trainstCstmrId=500020028057&crseTracseSe=C0061,,,"621,543,680","621,543,680","776,929,600",0,0,0,"621,543,680",0,0
AIG202100003285507,빅데이터기반 인공지능 융합 서비스 개발자,AIG20210000328550,7,한국소프트웨어인재개발원,120,960,2024-02-26,2024-08-13,빅데이터분석,20010105," 9,140,160 ",22,14,13,93%,79.3,서울 금천구,서울특별시 금천구 가산디지털2로 101,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000328550&tracseTme=7&trainstCstmrId=500020027783&crseTracseSe=C0061,,,"118,822,080","102,369,792","127,962,240",0,0,0,"102,369,792",0,0
AIG202300004127423,실무형 iOS 앱 개발자 양성과정,AIG20230000412742,3,팀스파르타주식회사,90,1080,2024-02-26,2024-07-05,응용SW엔지니어링,20010202," 19,602,000 ",100,58,50,86%,79.5,서울 강남구,서울특별시 강남구 테헤란로44길 8 (역삼동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412742&tracseTme=3&trainstCstmrId=500039286716&crseTracseSe=C0061,,,"980,100,000","909,532,800","1,136,916,000",0,0,0,"909,532,800",0,0
AIG202300004127473,앱 제작 실무 과정,AIG20230000412747,3,팀스파르타주식회사,90,1080,2024-02-26,2024-07-05,응용SW엔지니어링,20010202," 19,602,000 ",100,53,48,91%,85.2,서울 강남구,서울특별시 강남구 테헤란로44길 8 (역삼동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000412747&tracseTme=3&trainstCstmrId=500039286716&crseTracseSe=C0061,,,"940,896,000","831,124,800","1,038,906,000",0,0,0,"831,124,800",0,0
AIG202300004556101,기업요구 프로젝트를 반영한 자바(JAVA)&스프링(Spring) 개발자 과정,AIG20230000455610,1,영남기술직업전문학교,135,940,2024-02-26,2024-09-10,응용SW엔지니어링,20010202," 8,908,380 ",20,6,3,50%,78.6,대구 달서구,대구광역시 달서구 달구벌대로251안길 15 (이곡동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000455610&tracseTme=1&trainstCstmrId=500020051384&crseTracseSe=C0061,,,"26,725,140","42,760,224","53,450,280",0,0,0,"42,760,224",0,0
AIG202300004556422,[한국휴렛팩커드] 프론트엔드 개발자 아카데미,AIG20230000455642,2,멀티캠퍼스,97,784,2024-02-26,2024-07-11,응용SW엔지니어링,20010202," 14,229,600 ",50,26,24,92%,92.1,서울 강남구,서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000455642&tracseTme=2&trainstCstmrId=500020039927&crseTracseSe=C0061,한국휴렛팩커드,멀티캠퍼스,"341,510,400","295,975,680","369,969,600",0,0,0,"295,975,680",0,0
AIG202300004557482,"타입스크립트로 함께하는 웹 풀 사이클 개발(React, Node.js)",AIG20230000455748,2,(주)그렙,121,875,2024-02-26,2024-08-30,시스템SW엔지니어링,20010208," 15,881,250 ",60,60,48,80%,69.5,서울 서초구,서울특별시 서초구 서초동 반포대로 45(명정빌딩),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20230000455748&tracseTme=2&trainstCstmrId=500036172479&crseTracseSe=C0061,,,"762,300,000","762,300,000","952,875,000",0,0,0,"762,300,000",0,0
AIG2021000032873711,[정보보안] 모의해킹/침해대응 전문가 취업캠프,AIG20210000328737,11,더조은컴퓨터아카데미,132,1050,2024-02-26,2024-09-10,보안엔지니어링,20010206," 8,992,200 ",25,17,15,88%,89.9,서울 강남구,서울특별시 강남구 강남대로78길 8 (역삼동),https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000328737&tracseTme=11&trainstCstmrId=500020028586&crseTracseSe=C0061,,,"134,883,000","122,293,920","152,867,400",0,0,0,"122,293,920",0,0
AIG202100003658379,[누구나 AI] 딥러닝 부트 캠프,AIG20210000365837,9,(주)알파코,127,975,2024-02-26,2024-08-29,빅데이터플랫폼구축,20010209," 11,797,500 ",32,17,14,82%,83.8,서울 성동구,서울특별시 성동구 성수이로 113,https://hrd.work24.go.kr/hrdp/co/pcoco/PCOCO0100P.do?tracseId=AIG20210000365837&tracseTme=9&trainstCstmrId=500040793315&crseTracseSe=C0061,,,"165,165,000","160,446,000","200,557,500",0,0,0,"160,446,000",0,0
