훈련과정ID,회차,훈련기관ID
AIG20250000501779,6,500036172479.0
AIG20240000501219,6,500020055650.0
AIG20240000459108,13,500039029321.0
AIG20240000498225,12,500034772319.0
AIG20240000498223,20,500034282945.0
AIG20260000581141,1,500037517077.0
AIG20250000543108,2,500034780449.0
AIG20250000543107,2,500046549096.0
AIG20250000501639,7,500033945638.0
AIG20240000501192,12,500037517077.0
AIG20240000459062,5,500020053280.0
AIG20260000581159,1,500037517077.0
AIG20240000459397,10,500039029321.0
AIG20240000459132,8,500034360366.0
AIG20250000501715,4,500020017030.0
AIG20260000581162,1,500037517077.0
AIG20240000459303,5,500037933544.0
AIG20240000459189,10,500020045827.0
AIG20240000459335,15,500042496680.0
AIG20260000581163,1,500036256246.0
AIG20250000501640,8,500033945638.0
AIG20240000498248,13,500034264417.0
AIG20250000501479,3,500020055633.0
AIG20250000543140,2,500020014015.0
AIG20250000543145,3,500020014015.0
AIG20240000498244,7,500044667102.0
AIG20240000459108,14,500039029321.0
AIG20250000501779,7,500036172479.0
AIG20240000498258,6,500020044601.0
