훈련과정ID,회차,훈련기관ID
AIG20240000459290,2,500037517077.0
AIG20240000459386,1,500037933544.0
AIG20230000412649,6,500037119543.0
AIG20210000328828,10,500020028586.0
AIG20230000412607,4,500020054992.0
AIG20220000409285,10,500037119543.0
AIG20240000459234,1,500020050681.0
AIG20220000366759,2,500020026790.0
AIG20220000409305,8,500020026790.0
AIG20240000459064,1,500020036576.0
AIG20240000459198,3,500033363935.0
AIG20230000412757,6,500020044103.0
AIG20240000459153,5,500020035581.0
AIG20240000459358,2,500039727504.0
AIG20230000455640,7,500020039773.0
AIG20240000459356,2,500039727504.0
AIG20230000412866,9,500020055899.0
AIG20220000366759,3,500020026790.0
AIG20220000409305,9,500020026790.0
AIG20240000459292,3,500020058127.0
AIG20210000328870,8,500033945638.0
AIG20230000455595,6,500035988371.0
AIG20220000366682,9,500020031484.0
AIG20220000366880,9,500020031484.0
AIG20240000459016,1,500020037745.0
AIG20240000498160,1,500020059024.0
AIG20240000459368,2,500033945638.0
AIG20240000459370,2,500033945638.0
AIG20230000412692,4,500020022702.0
AIG20220000409356,4,500020033591.0
AIG20220000366759,4,500020026790.0
AIG20220000409305,10,500020026790.0
AIG20240000459021,2,500020039555.0
AIG20220000409350,5,500020021435.0
AIG20240000459290,3,500037517077.0
AIG20230000412830,5,500020048147.0
AIG20240000459038,4,500020053631.0
AIG20220000366733,9,500020039773.0
AIG20240000459290,4,500037517077.0
AIG20220000409247,19,500020059609.0
AIG20230000455720,9,500042311334.0
AIG20240000459408,3,500039286716.0
AIG20240000459190,1,500034831709.0
AIG20230000455766,8,500037517077.0
AIG20240000459323,1,500037933544.0
AIG20220000409306,4,500020026790.0
AIG20240000498335,1,500020021085.0
AIG20240000459423,1,500039286716.0
AIG20240000498342,1,500033945638.0
AIG20240000498366,1,500033945638.0
AIG20210000328870,10,500033945638.0
AIG20210000328870,9,500033945638.0
AIG20240000459329,1,500037933544.0
AIG20240000498261,1,500039286716.0
AIG20240000498289,1,500039286716.0
AIG20230000455751,3,500041819717.0
AIG20230000412755,9,500035544333.0
AIG20240000459152,2,500020058080.0
AIG20220000409368,9,500020046288.0
AIG20220000366759,5,500020026790.0
AIG20230000455617,3,500037147984.0
AIG20240000459402,3,500034282912.0
AIG20240000459381,1,500020028057.0
AIG20220000366797,20,500020046871.0
AIG20210000329032,78,500037517077.0
AIG20210000329032,80,500037517077.0
AIG20210000329032,82,500037517077.0
AIG20210000329032,84,500037517077.0
AIG20210000329032,85,500037517077.0
AIG20240000459397,4,500039029321.0
AIG20240000459311,2,500020026271.0
AIG20240000498279,1,500020039927.0
AIG20240000459345,1,500043258142.0
AIG20230000412780,3,500037147984.0
AIG20230000412586,14,500042496680.0
AIG20240000498081,1,500020027783.0
AIG20240000459084,1,500038398274.0
AIG20220000366914,6,500020016646.0
AIG20230000455744,5,500020055650.0
AIG20230000455575,4,500020013990.0
AIG20210000328538,5,500020013381.0
AIG20230000455734,4,500020044601.0
AIG20220000409385,7,500039652243.0
AIG20240000498245,1,500020045033.0
AIG20230000412744,4,500020026271.0
AIG20230000412740,6,500020026271.0
AIG20230000455784,24,500037517077.0
AIG20230000455784,25,500037517077.0
AIG20230000455784,26,500037517077.0
AIG20230000455784,27,500037517077.0
AIG20240000498227,2,500034831709.0
AIG20240000459246,1,500020033667.0
AIG20230000412897,18,500041675250.0
AIG20240000498236,1,500041675250.0
AIG20240000459042,3,500034091717.0
AIG20230000412856,5,500020051277.0
AIG20240000498290,1,500020027870.0
AIG20240000459123,2,500020053280.0
AIG20240000459124,2,500020053280.0
AIG20240000501208,1,500020053280.0
AIG20240000459214,2,500020019775.0
AIG20240000498389,1,500037143258.0
AIG20240000498097,1,500038398274.0
AIG20240000498119,1,500034391173.0
AIG20230000412684,3,500020022484.0
AIG20240000459019,4,500020055650.0
AIG20240000459019,5,500020055650.0
AIG20240000459068,11,500020011379.0
AIG20240000459269,4,500020059068.0
AIG20240000498081,2,500020027783.0
AIG20240000501255,1,500037517077.0
AIG20240000498389,2,500037143258.0
AIG20230000455592,5,500020033591.0
AIG20240000498289,2,500039286716.0
AIG20240000459022,14,500020039927.0
AIG20240000459063,2,500020061830.0
AIG20240000498244,3,500044667102.0
AIG20240000498281,1,500020045700.0
AIG20240000501258,2,500037517077.0
AIG20240000501258,3,500037517077.0
AIG20230000412694,4,500037933544.0
AIG20240000459400,4,500020045700.0
AIG20230000455632,2,500020049426.0
AIG20240000459040,3,500038398274.0
AIG20240000459113,2,500020028586.0
AIG20230000455692,4,500020042738.0
AIG20240000459368,3,500033945638.0
