훈련과정ID,회차,3개월 취업인원,3개월 취업률,6개월 취업인원,6개월 취업률,수료인원
AIG20240000459293,5,7,50.0,,B,16
AIG20230000412742,8,0,0.0,3,50.0,9
AIG20230000412667,10,3,37.5,,B,10
AIG20240000498149,2,3,27.3,,B,15
AIG20240000459160,5,,C,,C,0
AIG20230000455588,6,1,8.3,,B,13
AIG20250000501655,2,5,83.3,,B,6
AIG20240000501250,1,6,27.3,,B,22
AIG20240000459408,6,,B,,B,61
AIG20240000498180,2,0,0.0,4,40.0,11
AIG20250000501459,1,0,0.0,2,28.6,18
AIG20230000412645,14,1,10.0,,B,13
AIG20230000412581,8,0,0.0,,B,8
AIG20230000412830,7,3,37.5,,B,10
AIG20240000459328,6,1,7.1,,B,16
AIG20250000501668,1,3,23.1,,B,15
AIG20250000501684,1,2,33.3,,B,6
AIG20240000459287,2,,C,,C,0
AIG20230000455554,11,6,60.0,,B,10
AIG20230000412718,13,0,0.0,2,14.3,17
AIG20230000455633,5,0,0.0,9,75.0,14
AIG20240000498127,3,0,0.0,1,50.0,6
AIG20250000501352,1,,C,,C,0
AIG20230000412794,14,7,43.8,,B,17
AIG20250000501434,1,4,36.4,,B,15
AIG20240000498058,7,3,37.5,,B,9
AIG20250000501355,1,7,53.8,,B,15
AIG20240000498079,3,15,71.4,,B,24
AIG20240000459164,5,4,18.2,,B,22
AIG20240000459164,6,6,20.7,,B,32
AIG20240000459339,5,0,0.0,,B,12
AIG20240000459339,6,0,0.0,,B,7
AIG20240000498389,4,,B,,B,27
AIG20250000501446,1,1,11.1,5,55.6,9
AIG20250000501447,1,2,20.0,7,70.0,12
AIG20240000498259,3,2,50.0,,B,7
AIG20250000501427,1,5,71.4,,B,8
AIG20240000501238,4,1,7.7,,B,17
AIG20240000459414,4,4,40.0,,B,12
AIG20240000498213,3,1,11.1,,B,10
AIG20250000501781,1,1,9.1,,B,12
AIG20230000455748,9,0,0.0,3,18.8,19
AIG20240000498260,11,7,50.0,,B,14
AIG20240000459059,7,4,66.7,,B,8
AIG20230000412832,14,3,60.0,,B,5
AIG20240000498068,2,6,42.9,,B,14
AIG20240000459403,1,2,33.3,,B,8
AIG20240000459359,4,,C,,C,0
AIG20240000459371,2,0,0.0,0,0.0,6
AIG20250000501509,1,3,50.0,,B,7
AIG20240000498076,5,4,50.0,,B,10
AIG20240000498119,3,4,23.5,,B,17
